Timestamp,Age_Group,Clip,Pleasantness,Stability,Restlessness
4/13/2026 15:45:50,15-18,Pattern,7,8,3
4/13/2026 15:52:14,15-18,Pattern,7,8,5
4/13/2026 16:08:47,15-18,Pattern,6,3,7
4/13/2026 16:21:05,15-18,Pattern,6,6,5
4/13/2026 16:23:53,15-18,Pattern,3,4,9
4/13/2026 16:25:09,15-18,Pattern,6,6,4
4/13/2026 16:48:39,15-18,Pattern,8,7,2
4/13/2026 17:02:17,15-18,Pattern,6,7,6
4/13/2026 17:22:35,18+,Pattern,6,7,1
4/13/2026 17:43:57,15-18,Pattern,8,9,5
4/13/2026 17:55:50,15-18,Pattern,10,9,1
4/13/2026 18:38:16,15-18,Pattern,5,7,4
4/13/2026 18:42:09,15-18,Pattern,8,9,3
4/13/2026 20:36:41,15-18,Pattern,7,7,2
4/13/2026 20:45:04,15-18,Pattern,5,6,8
4/13/2026 21:38:17,15-18,Pattern,6,7,4
4/13/2026 23:48:46,15-18,Pattern,7,10,5
4/14/2026 10:56:15,15-18,Pattern,4,5,7
4/14/2026 12:19:31,15-18,Pattern,10,10,1
4/14/2026 15:04:30,18+,Pattern,10,10,1
4/14/2026 15:12:21,18+,Pattern,8,8,2
4/14/2026 15:46:11,18+,Pattern,3,5,4
4/14/2026 19:00:39,15-18,Pattern,7,10,6
4/19/2026 22:40:46,15-18,Pattern,6,7,3
4/19/2026 22:43:05,15-18,Pattern,5,5,3
7/19/2026 13:17:39,15-18,Pattern,5,4,7
7/19/2026 13:19:35,15-18,Pattern,7,4,10
7/19/2026 13:19:55,15-18,Pattern,5,6,8
7/19/2026 13:29:31,15-18,Pattern,7,3,6
7/19/2026 14:15:52,15-18,Pattern,7,6,3
7/20/2026 15:54:12,15-18,Pattern,6,8,2
4/13/2026 15:45:50,15-18,Pattern Break,6,5,6
4/13/2026 15:52:14,15-18,Pattern Break,9,7,7
4/13/2026 16:08:47,15-18,Pattern Break,7,5,5
4/13/2026 16:21:05,15-18,Pattern Break,9,8,2
4/13/2026 16:23:53,15-18,Pattern Break,6,5,4
